	S1	S28	S6	allTiers
PWY118	0	0	23	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
PWY119	17.1560473760474	24.1186507936508	25.9399317738791	Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan degradation; Glycosaminoglycan degradation
PWY120	12.24	21.7379763821793	9.90714285714286	Metabolism; Glycan biosynthesis and metabolism; Lipoarabinomannan (LAM) biosynthesis; Lipoarabinomannan (LAM) biosynthesis
PWY121	27.1173579180768	22.1128747795414	24.1385228279346	Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis; Lipopolysaccharide biosynthesis
PWY122	0	0	13.0833333333333	Metabolism; Glycan biosynthesis and metabolism; Mannose type O-glycan biosynthesis; Mannose type O-glycan biosynthesis
PWY123	13	22.2727272727273	16.3571428571429	Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis; N-Glycan biosynthesis
PWY124	20.5507423833266	44.7470900368963	27.2595518966609	Metabolism; Glycan biosynthesis and metabolism; O-Antigen nucleotide sugar biosynthesis; O-Antigen nucleotide sugar biosynthesis
PWY125	21.8474576271186	33.9090909090909	31.7741935483871	Metabolism; Glycan biosynthesis and metabolism; O-Antigen repeat unit biosynthesis; O-Antigen repeat unit biosynthesis
PWY126	15.1329205092044	27.8713516761286	21.2989438677477	Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation; Other glycan degradation
PWY127	13.3333333333333	23.1	9.5	Metabolism; Glycan biosynthesis and metabolism; Other types of O-glycan biosynthesis; Other types of O-glycan biosynthesis
PWY128	18.8459673624085	37.4413420701836	23.9420654909564	Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis; Peptidoglycan biosynthesis
PWY129	20.3541996578437	47.7677957476571	23.4048107991683	Metabolism; Glycan biosynthesis and metabolism; Teichoic acid biosynthesis; Teichoic acid biosynthesis
PWY130	41.3	19.8920175438596	11.075	Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids; Biosynthesis of unsaturated fatty acids
PWY131	9.2140625	59.6773504273504	0	Metabolism; Lipid metabolism; Ether lipid metabolism; Ether lipid metabolism
PWY132	22.5282183645007	30.1423601414745	26.7669962802304	Metabolism; Lipid metabolism; Fatty acid biosynthesis; Fatty acid biosynthesis
PWY133	28.7441942672272	26.8314254824126	20.4995114667403	Metabolism; Lipid metabolism; Fatty acid degradation; Fatty acid degradation
PWY134	0	28	0	Metabolism; Lipid metabolism; Fatty acid elongation; Fatty acid elongation
PWY135	15.526339453513	35.5496632542986	26.6650391305908	Metabolism; Lipid metabolism; Glycerolipid metabolism; Glycerolipid metabolism
PWY136	19.4859438162107	36.4264372426694	28.0622013268929	Metabolism; Lipid metabolism; Glycerophospholipid metabolism; Glycerophospholipid metabolism
PWY137	0	17.2279411764706	23.2777777777778	Metabolism; Lipid metabolism; Linoleic acid metabolism; Linoleic acid metabolism
PWY138	31.5757575757576	32.71875	13.5	Metabolism; Lipid metabolism; Primary bile acid biosynthesis; Primary bile acid biosynthesis
PWY139	23.0405844155844	34.2013888888889	17.0424836601307	Metabolism; Lipid metabolism; Secondary bile acid biosynthesis; Secondary bile acid biosynthesis
PWY140	18.6569595922201	36.5009623259623	17.6160315422703	Metabolism; Lipid metabolism; Sphingolipid metabolism; Sphingolipid metabolism
PWY141	14	22.8333333333333	19	Metabolism; Lipid metabolism; Steroid biosynthesis; Steroid biosynthesis
PWY142	33.3333333333333	25.0083333333333	0	Metabolism; Lipid metabolism; Steroid hormone biosynthesis; Steroid hormone biosynthesis
PWY143	30.1081937612247	34.4665883605109	30.6912675530393	Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism; Biotin metabolism
PWY144	24.6188524859786	29.8053837080538	22.5535963922478	Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis; Folate biosynthesis
