feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
seq63	country	USA	0.361662485449772	0.735199575443186	43	26	0.622772908252519	0.780744572784865
seq62	country	USA	0.439275860065262	0.901272038690868	43	18	0.625978141559181	0.780953312527716
seq225	country	USA	0.400330308636126	0.848085101529197	43	15	0.636898054848266	0.78317129232538
seq344	country	USA	0.476728128129655	1.00182848224108	43	11	0.634175524304615	0.78317129232538
seq403	country	USA	-0.466373861195157	0.983861328894833	43	10	0.635482808340442	0.78317129232538
seq310	country	USA	-0.421213465076304	0.91841117245235	43	13	0.646497896055929	0.791190282316066
seq291	country	USA	-0.405153824058958	0.924305091539455	43	13	0.661144593402074	0.803367741330599
seq475	country	USA	0.452471150484096	1.03733026505662	43	9	0.662700237984774	0.803367741330599
seq606	country	USA	0.438987800146808	1.0266891725383	43	9	0.668959735520061	0.803376878638578
seq18	country	USA	0.351275689733807	0.816294425401974	43	25	0.66695586595319	0.803376878638578
seq94	country	USA	0.388144247165534	0.930759779660017	43	17	0.676664718906468	0.80514937714666
seq2	country	USA	0.135348154922903	0.324600403286745	43	42	0.67670142203766	0.80514937714666
seq25	country	USA	-0.282673146109003	0.697756938118675	43	30	0.685391565159146	0.811731024174657
seq815	country	USA	-0.371942416069521	0.932623830121102	43	9	0.690031069762972	0.81347699508754
seq426	country	USA	0.371215185065086	1.02553941993829	43	10	0.717373952608921	0.84184979826709
seq74	country	USA	0.205418437627262	0.585981177096614	43	29	0.725922469633543	0.848009430435548
seq281	country	USA	0.263634912668945	0.773889785887863	43	13	0.73335798034399	0.848977481749574
seq701	country	USA	0.339142465177092	0.992109940863676	43	9	0.732471606462057	0.848977481749574
seq216	country	USA	-0.207788163231016	0.653048554990964	43	19	0.750347039165569	0.864749726751351
seq109	country	USA	0.216136689249948	0.699476406533296	43	24	0.757323180239045	0.865031365873043
seq311	country	USA	0.375474394424481	1.21506816896757	43	9	0.757310051297902	0.865031365873043
seq124	country	USA	-0.208779844211409	0.801505054126153	43	21	0.794489876604846	0.903468576493121
seq238	country	USA	-0.354004715382854	1.38723833311909	43	9	0.798578934668094	0.904118000923789
seq217	country	USA	0.226124179452347	0.93339581523554	43	14	0.808578947407199	0.90902965117219
seq436	country	USA	0.223770314105019	0.938513069984817	43	11	0.811547070418767	0.90902965117219
seq359	country	USA	0.191151636242227	0.81038854136017	43	14	0.813528481593788	0.90902965117219
seq54	country	USA	-0.119624273963508	0.558348551842149	43	33	0.830354764925554	0.923814608596828
seq170	country	USA	-0.264243499479764	1.41704982259952	43	9	0.852072761423577	0.943890946921808
seq246	country	USA	-0.136904077103162	0.816876909227846	43	16	0.86690229842209	0.956196955770288
seq111	country	USA	0.147904563330306	0.942792097638865	43	16	0.875339974876366	0.961377664714641
seq190	country	USA	0.130620182417065	0.887873136323172	43	16	0.883040605046191	0.965708236156898
seq451	country	USA	-0.13667111262919	1.1181327008089	43	10	0.902715626686139	0.983042017196346
seq382	country	USA	-0.0919823897116499	0.812689617193751	43	14	0.909885725974084	0.986669331541517
seq173	country	USA	-0.115512887121843	1.18000198612171	43	10	0.922017963254484	0.995624439312615
seq5	country	USA	0.0464762410390347	0.519524736078892	43	38	0.928717017337454	0.998662232032325
seq235	country	USA	0.060089719423365	1.1375929429997	43	11	0.957873883097849	0.999997894247583
seq19	country	USA	-0.00218770596989385	0.424352142870655	43	40	0.995886602402945	0.999997894247583
seq24	country	USA	0.0353602324140908	0.477150215505205	43	38	0.940925143004587	0.999997894247583
seq767	country	USA	0.0444517625708328	0.849597692956254	43	11	0.958272956592548	0.999997894247583
seq317	country	USA	-0.0804215673105743	1.13272977519418	43	10	0.943399334083447	0.999997894247583
seq771	country	USA	-38.4058501933965	14307657.8786112	43	9	0.999997858249395	0.999997894247583
seq654	country	USA	-38.5942507470054	14307657.8786112	43	11	0.999997847743001	0.999997894247583
seq497	country	USA	-37.8492785580504	14307657.8786112	43	9	0.999997889287313	0.999997894247583
seq144	country	USA	-23.9585062286619	5463.09813191816	43	10	0.996500875422264	0.999997894247583
seq130	country	USA	-24.4234805095068	5463.09815127561	43	9	0.996432966685399	0.999997894247583
seq210	country	USA	0.0298529631496811	0.973844728238058	43	14	0.97554488134865	0.999997894247583
seq257	country	USA	-39.4629627077675	14307657.8786112	43	10	0.999997799298185	0.999997894247583
seq132	country	USA	0.0163278880247715	0.735329693569874	43	22	0.982284546116365	0.999997894247583
seq172	country	USA	-22.811939546874	5463.09811477148	43	10	0.996668329747834	0.999997894247583
seq67	country	USA	-0.046520015634893	0.79344651753373	43	21	0.953246567967841	0.999997894247583
seq684	country	USA	-37.7603310593867	14307657.8786112	43	9	0.999997894247583	0.999997894247583
seq849	country	USA	-38.1735182194734	14307657.8786112	43	9	0.99999787120568	0.999997894247583
seq548	country	USA	-38.3166190609749	14307657.8786112	43	9	0.999997863225482	0.999997894247583
